un ordi|veut dire ordinateur
cubisme|Mouvement artistique géométrique.|4
abstrait|Art qui ne représente pas le réel.|4
culturel|Relatif à la culture.|4
érudit|Personne très cultivée.|4
boulot|Langage familier pour le travail.|5
carrière|Parcours professionnel.|5
recrutement|Action d'embaucher.|5
entretien|Discussion pour un emploi.|5
stage|Période d'essai en entreprise.|5
apprentissage|Période de formation.|5
fiche de paie|Document qui détaille le salaire.|5
prime|Somme supplémentaire versée.|5
impôt|Somme versée à l'État.|5
cotisation|Somme versée pour la sécurité sociale.|5
retraite|Période après le travail.|5
travailleur|Personne qui travaille.|5
employé|Personne salariée.|5
ouvrier|Travailleur manuel.|5
technicien|Personne qualifiée dans un domaine technique.|5
ingénieur|Professionnel technique et scientifique.|5
manager|Personne qui dirige une équipe.|5
chef|Personne responsable.|5
horaire|Répartition des heures de travail.|5
pointeuse|Machine pour enregistrer les horaires.|5
planning|Organisation du temps.|5
échéance|Date limite pour un projet.|5
rapport|Document synthétique.|5
compte rendu|Résumé d'une réunion.|5
bilan|Évaluation des résultats.|5
projet|Plan d'action.|5
mission|Tâche confiée.|5
séminaire|Session de formation.|5
congé|Période de repos autorisée.|5
vacances|Période de congés.|5
rtt|Réduction du temps de travail.|5
flexibilité|Capacité à s'adapter.|5
polyvalence|Capacité à faire plusieurs tâches.|5
responsabilité|Obligation de répondre de ses actes.|5
décision|Choix effectué.|5
délégation|Confier une tâche.|5
autonomie|Capacité à agir seul.|5
efficacité|Capacité à produire des résultats.|5
productivité|Quantité de travail produit.|5
rendement|Efficacité au travail.|5
symptôme|Signe d'une maladie.|6
fièvre|Élévation de la température corporelle.|6
toux|Réflexe de l'organisme.|6
rhume|Infection bénigne.|6
grippe|Maladie virale.|6
allergie|Réaction à une substance.|6
asthme|Difficulté respiratoire.|6
diabète|Maladie du sucre.|6
hypertension|Tension artérielle élevée.|6
cholestérol|Graisse dans le sang.|6
anémie|Manque de globules rouges.|6
infection|Invasion de l'organisme par des microbes.|6
virus|Agent infectieux microscopique.|6
bactérie|Micro-organisme.|6
antibiotique|Médicament contre les bactéries.|6
vaccin|Produit pour prévenir une maladie.|6
épidémie|Propagation d'une maladie.|6
pandémie|Épidémie mondiale.|6
clinique|Établissement de soins.|6
infirmier|Soignant qui aide les médecins.|6
pharmacien|Spécialiste des médicaments.|6
dentiste|Médecin des dents.|6
ophtalmologue|Médecin des yeux.|6
dermatologue|Médecin de la peau.|6
cardiologue|Médecin du coeur.|6
psychologue|Spécialiste du mental.|6
psychiatre|Médecin des troubles mentaux.|6
chirurgien|Médecin qui opère.|6
diagnostic|Identification d'une maladie.|6
examen|Test médical.|6
radio|Image médicale.|6
scanner|Examen radiologique.|6
irm|Imagerie médicale.|6
opération|Acte chirurgical.|6
rééducation|Récupération de la mobilité.|6
kinésithérapeute|Spécialiste de la rééducation.|6
pilule|Comprimé médicament.|6
sirop|Médicament liquide.|6
comprimé|Médicament solide.|6
goutte|Petite dose de liquide.|6
pommade|Crème médicamenteuse.|6
désinfectant|Produit qui tue les microbes.|6
pansement|Protection sur une plaie.|6
thermomètre|Instrument pour mesurer la fièvre.|6
tensiomètre|Appareil pour mesurer la tension.|6
stéthoscope|Instrument pour écouter le coeur.|6
aimable|Gentil avec les autres.|7
arrogant|Qui se croit supérieur.|7
attentionné|Qui fait attention aux autres.|7
aventureux|Qui aime l'aventure.|7
courageux|Qui n'a pas peur.|7
créatif|Qui invente des choses.|7
curieux|Qui veut apprendre.|7
déterminé|Qui est motivé.|7
dynamique|Plein d'énergie.|7
égoïste|Qui ne pense qu'à soi.|7
énergique|Qui a beaucoup d'énergie.|7
honorable|Digne de respect.|7
honnête|Qui dit la vérité.|7
hypocrite|Qui dit une chose et en pense une autre.|7
impatient|Qui n'aime pas attendre.|7
impulsif|Qui agit sans réfléchir.|7
indépendant|Qui agit par lui-même.|7
intelligent|Qui comprend vite.|7
jaloux|Qui envie les autres.|7
jeune|Qui a peu d'années.|7
joyeux|Toujours de bonne humeur.|7
juste|Qui est équitable.|7
lâche|Qui a peur facilement.|7
maladroit|Qui fait des gaffes.|7
mature|Qui est réfléchi.|7
méchant|Qui fait du mal.|7
modeste|Qui ne se vante pas.|7
nerveux|Qui est anxieux.|7
ouvert|Qui est tolérant.|7
prudent|Qui fait attention.|7
rancunier|Qui n'oublie pas les offenses.|7
rêveur|Qui imagine beaucoup.|7
sage|Qui est prudent et réfléchi.|7
sensuel|Qui ressent intensément.|7
sérieux|Qui n'est pas frivole.|7
sincère|Qui est honnête.|7
sociable|Qui aime les gens.|7
solitaire|Qui aime être seul.|7
stoïque|Qui ne montre pas ses émotions.|7
têtu|Qui ne change pas d'avis.|7
tolérant|Qui accepte les différences.|7
volontaire|Qui fait des efforts.|7
zélé|Qui fait son travail avec ardeur.|7
aube|Lever du soleil.|8
crépuscule|Tombée de la nuit.|8
brouillard|Nappe de nuages bas.|8
arc-en-ciel|Bande colorée dans le ciel.|8
tonnerre|Bruit de l'orage.|8
éclair|Décharge électrique lumineuse.|8
foudre|Décharge électrique puissante.|8
ouragan|Vent très violent.|8
inondation|Submersion par l'eau.|8
sécheresse|Manque d'eau.|8
oasis|Lieu fertile dans le désert.|8
dune|Colline de sable.|8
rocher|Pierre massive.|8
caillou|Petite pierre.|8
sable|Grains fins sur la plage.|8
terreau|Terre fertile pour les plantes.|8
engrais|Substance qui nourrit les plantes.|8
pesticide|Produit pour tuer les insectes.|8
pollution|Dégradation de l'environnement.|8
recyclage|Transformation des déchets.|8
déchet|Ce qu'on jette.|8
poubelle|Récipient pour les déchets.|8
compost|Engrais naturel.|8
écologie|Science de l'environnement.|8
durable|Qui dure dans le temps.|8
brosse|Outil pour se coiffer.|8
serviette|Tissu pour se sécher.|8
mouchoir|Tissu pour se moucher.|8
linge|Vêtements à laver.|8
éponge|Objet pour nettoyer.|8
détergent|Produit pour laver.|8
amidon|Produit pour repasser.|8
tapis|Couverture de sol.|8
rideau|Tissu pour cacher une fenêtre.|8
store|Protège fenêtre.|8
lampadaire|Lumière sur pied.|8
horloge|Appareil pour l'heure.|8
calendrier|Tableau des jours.|8
agenda|Carnet de rendez-vous.|8
ciseaux|Outil pour couper.|8
colle|Substance pour coller.|8
ruban|Bande adhésive.|8
trombone|Attache-papier.|8
agrafeuse|Outil pour agrafer.|8
perforatrice|Outil pour trouer.|8
classeur|Dossier pour ranger des feuilles.|8
chemise|Dossier cartonné.|8
boîte|Contenant rigide.|8
sac|Contenant pour transporter.|8
écran|Surface pour afficher des images.|10
souris|Périphérique pour cliquer.|10
micro|Appareil qui capte le son.|10
caméra|Appareil pour filmer.|10
haut-parleur|Appareil qui diffuse le son.|10
casque|Appareil pour écouter seul.|10
microphone|Appareil pour enregistrer la voix.|10
câble|Filaire pour transmettre des données.|10
batterie|Source d'énergie pour les appareils.|10
chargeur|Appareil pour recharger.|10
port|Connecteur pour brancher des périphériques.|10
mémoire|Espace de stockage.|10
disque dur|Appareil de stockage de données.|10
serveur|Ordinateur central.|10
réseau|Ensemble d'ordinateurs connectés.|10
wi-fi|Réseau sans fil.|10
bluetooth|Technologie de connexion sans fil.|10
sécurité|Protection des données.|10
mot de passe|Code secret.|10
piratage|Intrusion illégale.|10
spam|Courrier indésirable.|10
virus informatique|Programme malveillant.|10
antivirus|Logiciel de protection.|10
backup|Copie de sécurité.|10
périphérique|Appareil connecté à un ordinateur.|10
écran tactile|Écran qu'on touche.|10
reconnaissance faciale|Identification par le visage.|10
reconnaissance vocale|Identification par la voix.|10
impression 3d|Création d'objets en trois dimensions.|10
robot|Machine automatisée.|10
ia|Intelligence artificielle.|10
algorithme|Série d'instructions.|10
programmation|Écriture de codes.|10
code|Langage informatique.|10
développeur|Personne qui programme.|10
open source|Logiciel libre.|10
interface|Point de contact utilisateur-machine.|10
simulation|Reproduction virtuelle.|10
virtualisation|Création de versions virtuelles.|10
puce|Petit circuit électronique.|10
capteur|Appareil qui détecte.|10
biométrie|Identification par le corps.|10
cryptage|Protection des données par codage.|10
décryptage|Décodage des données.|10
api|Interface de programmation.|10
intégration|Assemblage de systèmes.|10
mise à jour|Nouvelle version d'un logiciel.|10
téléchargement|Transfert de données.|10
upload|Transfert de données vers le serveur.|10
abstraction|Capacité à penser à des concepts éloignés du concret.|9
acuité|Finesse et rapidité de compréhension.|9
attention|Concentration de l'esprit sur un objet.|9
capacité|Aptitude à faire quelque chose.|9
cerveau|Organe physique de la pensée.|9
clairvoyance|Capacité à voir clair dans une situation.|9
compréhension|Action de saisir le sens.|9
connaissance|Savoir acquis.|9
créativité|Capacité à inventer du nouveau.|9
déduction|Action de tirer une conclusion logique.|9
discernement|Capacité à juger correctement.|9
éducation|Processus de transmission des savoirs.|9
empathie|Capacité à comprendre les émotions des autres.|9
esprit critique|Capacité à remettre en question.|9
évaluation|Estimation de la valeur de quelque chose.|9
expérience|Savoir acquis par la pratique.|9
génie|Intelligence exceptionnelle.|9
habileté|Capacité à faire avec adresse.|9
imagination|Faculté de créer des images mentales.|9
ingéniosité|Capacité à trouver des solutions astucieuses.|9
innovation|Création de nouveautés.|9
inspiration|Idée soudaine, élan créatif.|9
intellect|Faculté de comprendre et de raisonner.|9
intuition|Perception rapide, sans raisonnement.|9
jugement|Capacité à porter une évaluation.|9
logique|Raisonnement cohérent.|9
métacognition|Réflexion sur ses propres processus mentaux.|9
méthode|Manière de faire ordonnée.|9
neurone|Cellule du système nerveux.|9
observation|Action d'examiner attentivement.|9
perspicacité|Finesse de perception.|9
prévision|Anticipation d'un événement.|9
problème|Question à résoudre.|9
réflexion|Action de réfléchir, de peser.|9
sagacité|Qualité de jugement clairvoyant.|9
savant|Personne qui possède un grand savoir.|9
sens critique|Aptitude à distinguer le vrai du faux.|9
stratégie|Plan d'action réfléchi.|9
synthèse|Combinaison d'éléments en un tout cohérent.|9
talent|Aptitude naturelle.|9
vive intelligence|Intelligence rapide et alerte.|9
temperature elevee|Quelqu'un qui a de la fièvre.|6
salut|Je ne sais pas encore...|3
le python|L'utilisateur connait ce sujet.|5
la lune|L'utilisateur connait ce sujet.
connais|Je ne sais pas encore...|10
suite|Je ne sais pas encore...|6
rex|c'est mon chien prefere
foot|c'est un sport|0
